name,Same-Sex Marriage,Legalize Divorce,Support Job Contractualization,Death Penalty,Requiring Public Officials to Publicize SALN,Assertion of Ownership on West Philippine Sea,Pass Anti-Political Dynasty Bill,Decriminalizing Abortion,Abolish NTF-ELCAC,War on Drugs,Legalize Medical Marijuana,Anti-Terror Law,Advancing Mining
ERNESTO ABELLA,against,against,noStand,for,for,for,for,for,against,for,noStand,for,for
LEODY DE GUZMAN,for,for,against,against,for,for,for,For,for,against,for,against,against
NORBERTO GONZALES,noStand,against,against,against,for,for,noStand,noStand,noStand,against,noStand,noStand,noStand
PANFILO LACSON,noStand,for,against,against,for,for,for,noStand,against,against,for,for,for
BONGBONG MARCOS,for,against,against,for,against,for,Against,for,against,for,for,noStand,for
ISKO MORENO,against,for,against,against,for,for,for,against,against,for,against,for,for
MANNY PACQUIAO,against,against,against,against,for,for,for,against,noStand,for,against,against,for
LENI ROBREDO,noStand,against,against,against,for,for,for,against,against,against,for,against,against
FAISAL MANGONDATO,against,for,noStand,for,for,noStand,for,against,noStand,for,noStand,noStand,noStand
JOSE MONTEMAYOR,against,against,against,against,for,for,noStand,against,for,against,noStand,noStand,noStand
SARA DUTERTE,noStand,noStand,for,for,noStand,for,noStand,noStand,noStand,for,for,for,against
LITO ATIENZA,against,against,for,against,for,noStand,for,against,noStand,for,against,against,noStand
WALDEN BELLO,for,for,against,against,for,for,for,for,for,against,for,against,against
WILLIE ONG,against,noStand,against,against,for,for,for,against,against,against,for,noStand,for
KIKO PANGILINAN,against,for,against,against,noStand,for,for,against,for,against,noStand,against,noStand
TITO SOTTO,against,against,against,against,for,for,noStand,against,against,for,against,for,for
RIZALITO DAVID,against,against,against,against,noStand,For,for,against,noStand,against,noStand,against,against
CARLOS SERAPIO,noStand,noStand,noStand,noStand,noStand,noStand,for,noStand,noStand,noStand,noStand,noStand,noStand
MANNY LOPEZ,noStand,noStand,noStand,noStand,noStand,noStand,noStand,noStand,noStand,for,noStand,noStand,noStand
